tract,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""51059471303""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",3.00,3914.00,1697.00,339.24,36,45,57,25,31,41,11,14,16,4.72,38.02,1.62,2,2,12223,12070,11727,12,11,11,11834,11579,10668,10136,9902,9041,1489,1470,1428,209,207,200,135,134,129,,,,5.00,41977,24,82170,69,25,,,2201,2488,1915,49,51
"""51059471304""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,2145.00,688.00,361.84,50,62,79,36,45,59,13,16,20,6.37,12.11,1.97,2,2,14620,14440,13956,11,11,11,14356,14036,12847,12372,12077,10956,1781,1759,1699,203,200,192,131,129,124,,,,1.90,42843,93,75597,69,14,,,3195,3232,2764,92,8
"""51059471401""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",2.00,3718.00,1331.00,341.11,40,50,64,27,34,44,13,16,19,6.12,28.28,1.89,2,2,14637,14324,13803,9,9,9,13801,13515,12461,11859,11612,10626,1783,1745,1681,159,158,155,102,102,100,,,,3.90,44272,59,69912,69,10,,,2410,2558,2156,73,27
"""51059471402""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",2.00,3614.00,1521.00,492.56,32,40,51,21,26,34,12,14,17,5.26,16.23,1.71,2,2,13375,13196,12766,10,10,9,12516,12246,11262,10712,10465,9538,1629,1607,1554,175,174,170,113,112,110,,,,3.09,42972,21,75468,69,21,,,1829,2228,1088,75,25
"""51059480100""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",4.00,3941.00,1298.00,8665.96,60,74,95,45,56,73,15,19,22,8.53,1.31,2.17,2,2,20202,19682,18877,2,2,2,16135,15807,14587,13636,13372,12252,2461,2397,2298,39,38,37,25,25,24,,,,0.15,17053,99,27378,74,111,,,3948,4001,396,97,3
"""51059480201""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",3.00,4525.00,1497.00,1651.81,57,71,91,43,54,71,14,17,21,6.08,6.35,2.03,2,2,16238,15949,15341,6,6,6,14853,14552,13397,12760,12496,11420,1978,1943,1868,115,114,109,74,73,70,,,,0.91,28722,97,82209,69,34,,,3832,4001,1392,94,6
"""51059480203""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",2.00,2658.00,1295.00,92.13,35,44,56,26,33,43,9,11,13,2.77,63.54,1.32,1,1,9474,9354,9017,14,13,13,9651,9429,8680,8253,8047,7346,1154,1139,1098,244,243,236,157,157,152,,,,14.06,33132,2,124883,68,22,,,2322,1688,2324,52,48
"""51059480204""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",3.00,3512.00,1832.00,369.53,34,43,55,26,32,43,8,10,12,3.13,130.15,1.19,1,1,8778,8666,8403,14,14,14,8811,8617,7977,7482,7302,6703,1069,1056,1023,260,259,251,168,167,162,,,,4.96,33893,0,128027,68,8,,,2304,2687,2193,28,72
"""51059480205""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",2.00,2525.00,1360.00,489.95,35,44,57,27,34,44,9,10,13,3.60,12.78,1.22,1,1,9249,9131,8907,13,13,13,9053,8872,8238,7686,7521,6923,1127,1112,1084,240,238,231,155,154,149,,,,2.78,36833,2,136576,68,15,,,2378,2247,2306,23,77
"""51059480301""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",2.00,2963.00,1042.00,2563.76,56,70,89,41,52,68,15,18,22,3.70,1.13,2.11,2,2,18507,18026,17267,2,3,2,15519,15201,14017,13220,12960,11870,2254,2196,2102,45,45,45,29,29,29,,,,0.41,19439,98,34147,73,80,,,3671,3953,,93,7
