"","geoid","year","NAME","measure","region_type","value"
"152",51059432500,2021,"Census Tract 4325, Fairfax County, Virginia","ays_index","tract",0.658638654479558
"153",51059432600,2021,"Census Tract 4326, Fairfax County, Virginia","ays_index","tract",0.685911747426752
"154",51059432701,2021,"Census Tract 4327.01, Fairfax County, Virginia","ays_index","tract",0.687769664742139
"155",51059432702,2021,"Census Tract 4327.02, Fairfax County, Virginia","ays_index","tract",0.607611318477344
"156",51059432800,2021,"Census Tract 4328, Fairfax County, Virginia","ays_index","tract",0.605652308475377
"157",51059440100,2021,"Census Tract 4401, Fairfax County, Virginia","ays_index","tract",0.714909022104482
"158",51059440201,2021,"Census Tract 4402.01, Fairfax County, Virginia","ays_index","tract",0.713197952038335
"159",51059440202,2021,"Census Tract 4402.02, Fairfax County, Virginia","ays_index","tract",0.566464285308457
"160",51059440300,2021,"Census Tract 4403, Fairfax County, Virginia","ays_index","tract",0.716077399297241
"161",51059440501,2021,"Census Tract 4405.01, Fairfax County, Virginia","ays_index","tract",0.667170733916482
"162",51059440503,2021,"Census Tract 4405.03, Fairfax County, Virginia","ays_index","tract",0.431754317274349
"163",51059440504,2021,"Census Tract 4405.04, Fairfax County, Virginia","ays_index","tract",0.299013708757733
"164",51059440505,2021,"Census Tract 4405.05, Fairfax County, Virginia","ays_index","tract",0.669692503616595
"165",51059440600,2021,"Census Tract 4406, Fairfax County, Virginia","ays_index","tract",0.606702829402757
"166",51059440701,2021,"Census Tract 4407.01, Fairfax County, Virginia","ays_index","tract",0.702006689917474
"167",51059440702,2021,"Census Tract 4407.02, Fairfax County, Virginia","ays_index","tract",0.680340778810049
"168",51059440800,2021,"Census Tract 4408, Fairfax County, Virginia","ays_index","tract",0.668350271256507
"169",51059450100,2021,"Census Tract 4501, Fairfax County, Virginia","ays_index","tract",0.523810240968335
"170",51059450200,2021,"Census Tract 4502, Fairfax County, Virginia","ays_index","tract",0.473185879702352
"171",51059450300,2021,"Census Tract 4503, Fairfax County, Virginia","ays_index","tract",0.567999690540044
"172",51059450400,2021,"Census Tract 4504, Fairfax County, Virginia","ays_index","tract",0.605099157971389
"173",51059450500,2021,"Census Tract 4505, Fairfax County, Virginia","ays_index","tract",0.422980871682313
"174",51059450601,2021,"Census Tract 4506.01, Fairfax County, Virginia","ays_index","tract",0.573686136674558
"175",51059450602,2021,"Census Tract 4506.02, Fairfax County, Virginia","ays_index","tract",0.466505682079779
"176",51059450701,2021,"Census Tract 4507.01, Fairfax County, Virginia","ays_index","tract",0.64195028704123
"177",51059450702,2021,"Census Tract 4507.02, Fairfax County, Virginia","ays_index","tract",0.315769366534665
"178",51059450800,2021,"Census Tract 4508, Fairfax County, Virginia","ays_index","tract",0.506160261277897
"179",51059450900,2021,"Census Tract 4509, Fairfax County, Virginia","ays_index","tract",0.625975944463666
"180",51059451000,2021,"Census Tract 4510, Fairfax County, Virginia","ays_index","tract",0.539455419420607
"181",51059451100,2021,"Census Tract 4511, Fairfax County, Virginia","ays_index","tract",0.636667551670749
"182",51059451200,2021,"Census Tract 4512, Fairfax County, Virginia","ays_index","tract",0.71864601697203
"183",51059451300,2021,"Census Tract 4513, Fairfax County, Virginia","ays_index","tract",0.68949371298588
"184",51059451400,2021,"Census Tract 4514, Fairfax County, Virginia","ays_index","tract",0.33498762084841
"185",51059451501,2021,"Census Tract 4515.01, Fairfax County, Virginia","ays_index","tract",0.49062732432747
"186",51059451502,2021,"Census Tract 4515.02, Fairfax County, Virginia","ays_index","tract",0.587213193348446
"187",51059451601,2021,"Census Tract 4516.01, Fairfax County, Virginia","ays_index","tract",0.199589042185321
"188",51059451602,2021,"Census Tract 4516.02, Fairfax County, Virginia","ays_index","tract",0.55866556835157
"189",51059451800,2021,"Census Tract 4518, Fairfax County, Virginia","ays_index","tract",0.552738822694784
"190",51059451900,2021,"Census Tract 4519, Fairfax County, Virginia","ays_index","tract",0.599858248228783
"191",51059452000,2021,"Census Tract 4520, Fairfax County, Virginia","ays_index","tract",0.600606856451946
"192",51059452101,2021,"Census Tract 4521.01, Fairfax County, Virginia","ays_index","tract",0.511345458004455
"193",51059452102,2021,"Census Tract 4521.02, Fairfax County, Virginia","ays_index","tract",0.539346283526864
